,Flywire_id,Subtype,Dendrite_used
0,720575940604828849,T4a,True
1,720575940638598709,T4a,True
2,720575940632444431,T4a,True
3,720575940633877087,T4a,False
4,720575940623290343,T4a,True
5,720575940606181762,T4a,True
6,720575940620419207,T4a,True
7,720575940628947459,T4a,True
8,720575940625910576,T4a,True
9,720575940632299335,T4a,True
10,720575940630812231,T4a,True
11,720575940615078831,T4a,True
12,720575940619710293,T4a,False
13,720575940621002108,T4a,True
14,720575940624257021,T4a,True
15,720575940625877552,T4a,True
16,720575940615794738,T4a,True
17,720575940632490527,T4a,True
18,720575940630524631,T4a,True
19,720575940621243672,T4a,True
20,720575940635213157,T4a,True
21,720575940623504359,T4a,True
22,720575940635031447,T4a,True
23,720575940615911583,T4a,True
24,720575940609751138,T4a,True
25,720575940655109793,T4a,True
26,720575940641000181,T4a,True
27,720575940620496913,T4a,True
28,720575940617306068,T4a,True
29,720575940618066715,T4a,True
30,720575940629178923,T4a,False
31,720575940633496545,T4a,True
32,720575940621618209,T4a,True
33,720575940623261418,T4a,True
34,720575940627870151,T4a,True
35,720575940604836012,T4a,True
36,720575940626091706,T4a,True
37,720575940610367044,T4a,True
38,720575940624750268,T4a,True
39,720575940634254748,T4a,True
40,720575940608391691,T4a,True
41,720575940618444155,T4a,True
42,720575940620611866,T4a,True
43,720575940626654864,T4a,True
44,720575940617975586,T4a,True
45,720575940609420043,T4a,True
46,720575940616084948,T4a,True
47,720575940637980762,T4a,True
48,720575940617416660,T4a,True
49,720575940637467102,T4a,True
50,720575940614791645,T4a,True
51,720575940632611615,T4a,True
52,720575940627066364,T4a,True
53,720575940616228725,T4a,True
54,720575940637099236,T4a,True
55,720575940624928333,T4a,True
56,720575940630834316,T4a,True
57,720575940625467011,T4a,False
58,720575940616492305,T4a,True
59,720575940626623516,T4a,True
60,720575940626211884,T4a,True
61,720575940620076208,T4a,True
62,720575940619354539,T4a,True
63,720575940625923770,T4a,True
64,720575940622581395,T4a,True
65,720575940636387502,T4a,True
66,720575940630100471,T4a,True
67,720575940612124851,T4a,False
68,720575940614701836,T4a,True
69,720575940643722184,T4a,True
70,720575940637519757,T4a,True
71,720575940608262106,T4a,True
72,720575940610651346,T4a,True
73,720575940619090555,T4a,True
74,720575940622566825,T4a,True
75,720575940609740381,T4a,True
76,720575940635980139,T4a,True
77,720575940629660239,T4a,True
78,720575940644596260,T4a,True
79,720575940639650638,T4a,True
80,720575940626680665,T4a,True
81,720575940617861649,T4a,True
82,720575940654435489,T4a,True
83,720575940625943340,T4a,True
84,720575940633770091,T4a,True
85,720575940629723639,T4a,True
86,720575940626534858,T4a,True
87,720575940616194677,T4a,True
88,720575940637834637,T4a,True
89,720575940630705995,T4a,True
90,720575940617684027,T4a,True
91,720575940629305347,T4a,True
92,720575940628081226,T4a,True
93,720575940622779061,T4a,True
94,720575940617803911,T4a,True
95,720575940629489602,T4a,True
96,720575940646718004,T4a,True
97,720575940619788169,T4a,True
98,720575940648109956,T4a,True
99,720575940622571213,T4a,True
100,720575940614803933,T4a,True
101,720575940627730793,T4a,True
102,720575940633963949,T4a,True
103,720575940615816635,T4a,True
104,720575940626422805,T4a,True
105,720575940643830472,T4a,True
106,720575940608618197,T4a,True
107,720575940629761146,T4a,True
108,720575940639337936,T4a,True
109,720575940627839656,T4a,True
110,720575940638973824,T4a,True
111,720575940627561290,T4a,True
112,720575940619810068,T4a,True
113,720575940625522320,T4a,True
114,720575940631248079,T4a,True
115,720575940624535590,T4a,True
116,720575940645532980,T4a,True
117,720575940623278630,T4a,True
118,720575940643322509,T4a,True
119,720575940621721838,T4a,True
120,720575940626951877,T4a,True
121,720575940628459526,T4a,True
122,720575940617005639,T4a,True
123,720575940627375106,T4a,True
124,720575940626951549,T4a,True
125,720575940626218877,T4a,True
126,720575940619209408,T4a,True
127,720575940628794615,T4a,True
128,720575940622578183,T4a,True
129,720575940631855687,T4a,True
130,720575940619171604,T4a,True
131,720575940636784105,T4a,False
132,720575940606964145,T4a,True
133,720575940628420551,T4a,True
134,720575940634840683,T4a,True
135,720575940633605345,T4a,True
